Timetable Code,Timetable Name,Trackernet Code,Trackernet Name,ATCO Code,NaPTAN Name
CFS,Cockfosters (& Depot),CFS,Cockfosters,9400ZZLUCKS,Cockfosters Underground Station
CHF,Chalk Farm,CHF,Chalk Farm,9400ZZLUCFM,Chalk Farm Underground Station
CHG,Chigwell,CHG,Chigwell,9400ZZLUCWL,Chigwell Underground Station
CHM,Chesham,CHM,Chesham,9400ZZLUCSM,Chesham Underground Station
CHP,Chiswick Park,CHP,Chiswick Park,9400ZZLUCWP,Chiswick Park Underground Station
CHX,Charing Cross,CHX,Charing Cross,9400ZZLUCHX,Charing Cross Underground Station
CLF,Chalfont & Latimer,CLF,Chalfont & Latimer,9400ZZLUCAL,Chalfont & Latimer Underground Station
CLW,Colliers Wood,CLW,Colliers Wood,9400ZZLUCSD,Colliers Wood Underground Station
CMJ,Camden Junction (NR),,,,
CNJ,Canal Junction,,,,
CNT,Canning Town,CNT,Canning Town,9400ZZLUCGT,Canning Town Underground Station
COL,Colindale,COL,Colindale,9400ZZLUCND,Colindale Underground Station
COV,Covent Garden,COV,Covent Garden,9400ZZLUCGN,Covent Garden Underground Station
CPC,Clapham Common,CPC,Clapham Common,9400ZZLUCPC,Clapham Common Underground Station
